"Fund","Department ID","Department","Short Title","Link to Website","Department Description","Control Officer","Appropriations 1993","Appropriations 1994","Appropriations 1995","Appropriations 1996","Appropriations 1997","Appropriations 1998","Appropriations 1999","Appropriations 2000","Appropriations 2001","Appropriations 2002","Appropriations 2003","Appropriations 2004","Appropriations 2005","Appropriations 2006","Appropriations 2007","Appropriations 2008","Appropriations 2009","Appropriations 2010","Appropriations 2011","Appropriations 2012","Appropriations 2013","Appropriations 2014","Appropriations 2015","Appropriations 2016","Appropriations 2017","Expenditures 1993","Expenditures 1994","Expenditures 1995","Expenditures 1996","Expenditures 1997","Expenditures 1998","Expenditures 1999","Expenditures 2000","Expenditures 2001","Expenditures 2002","Expenditures 2003","Expenditures 2004","Expenditures 2005","Expenditures 2006","Expenditures 2007","Expenditures 2008","Expenditures 2009","Expenditures 2010","Expenditures 2011","Expenditures 2012","Expenditures 2013","Expenditures 2014","Expenditures 2015","Expenditures 2016"
"Special Purpose Fund",586,"Cook County Land Bank Authority","Cook County Land Bank Authority",,"Fund established in 2014 to reduce and return vacant and abandoned properties back into productive and sustainable community assets.","President",,,,,,,,,,,,,,,,,,,0,0,0,1000000,3450000,6407671,27060000,,,,,,,,,,,,,,,,,,,0,0,0,0,4645371.04,7042512.5
"Special Purpose Fund",587,"Section 108 Loan Program","Bureau of Economic Development",,"Fund established for 2017 and provides funding to support sustainable economic development for the benefit of low and moderate-income individuals. The program is administered as part of HUD's CDBG program and is subject to the requirements governing the CDBG program.","President",,,,,,,,,,,,,,,,,,,,,,,,,350000,,,,,,,,,,,,,,,,,,,,,,,,55572.44
"Special Purpose Fund",588,"Erroneous Homestead Exemption Recovery Fund","Assessor",,"Fund established for 2017 to end abuse of existing erroneous homestead exemptions, stops future abuse and recoups lost tax district revenue.","Assessor",,,,,,,,,,,,,,,,,,,,,,,,,2672282,,,,,,,,,,,,,,,,,,,,,,,,0
"Special Purpose Fund",590,"Annuity and Benefits","Annuity and Benefits",,"Created for the purpose of setting apart, maintaining and administering a County Employees Annuity and Benefit Fund, in accordance with an act approved and in force July 2, 1925","Countywide Costs",96266000,107557000,117129000,124429000,136103000,147850000,161488000,159399000,160702000,179603000,187745000,220223000,209151000,223270000,264846000,183124000,186100000,186600000,192234211,196139483,192969505,194668229,192786468,195622621,208226206,96266000,107557000,117129000,124429000,136103000,147850000,161488000,159399000,160702000,179603000,187745000,220223000,209151000,223270000,264846000,183124000,186100000,186100000,192856052,196139483,192969505,194668229,192786468,195622621
"Capital Improvements",600,"Capital Improvements","Capital Improvements",,"Improvements or additions to fixed County assets and the acquisition of new County assets.","President",364342806,247958860,292124459,260093271,200940879,241168764,249786594,275314745,291563045,267071110,266749560,219215158,130643500,111128588,173502774,286183112,452981571,518971730,0,391689580,372020827,328711894,252189007,321545658,424858753,323541516,146673579,173453275,132477196,124123474,154302269,212302483,326606063,310689882,310141178,190586225,193112626,162043736,135921971,212000784,161083971,197798679,518971730,188739806,46315900,74897002,53345136,99652750,27538464
"Special Purpose Fund",700,"Bond and Interest","Bond and Interest",,"Debt structured to be paid at specific dates and the interest incurred.","Countywide Costs",143857710,144799856,169752449,148771864,143335602,146793809,138328871,145192505,144656118,144679698,154492824,164246728,180500663,180870852,184941441,212729169,209147064,190760412,272080716,193532419,187384752,187384752,225000000,250000000,277133392,130021919,140967135,169752449,148771864,143335602,146793809,138328871,145192505,144656118,144679698,154492824,164246728,180500663,180870852,184941441,212729169,209147064,209147064,187307998,193532419,187384752,187384752,225000000,250000000
"Special Purpose Fund",760,"Superintendent Of Schools and G.E.D.","G.E.D.",,"Funded by County until 1995. Duties were transferred to the State Board of Education in 2010. The current regional office of education is responsible for issuing teacher certification, holding ongoing instructional sessions for educators and certifying new school bus drivers, among other things.","County Superintendent of Schools",568051,479141,,,,,,,,,,,,,,,,,,,,,,,,463863,305259,,,,,,,,,,,,,,,,,,,,,,
"Special Purpose Fund",763,"Superintendent Of Schools and Transportation Funds","Transportation",,"Funded by County until 1995. Duties were transferred to the State Board of Education in 2010. The current regional office of education is responsible for issuing teacher certification, holding ongoing instructional sessions for educators and certifying new school bus drivers, among other things.","County Superintendent of Schools",310942,169393,,,,,,,,,,,,,,,,,,,,,,,,178866,85614,,,,,,,,,,,,,,,,,,,,,,
"Special Purpose Fund",764,"Superintendent Of Schools and Teacher's Institute Fund","Teacher's Institute",,"Funded by County until 1995. Duties were transferred to the State Board of Education in 2010. The current regional office of education is responsible for issuing teacher certification, holding ongoing instructional sessions for educators and certifying new school bus drivers, among other things.","County Superintendent of Schools",1348424,1229217,,,,,,,,,,,,,,,,,,,,,,,,649094,453451,,,,,,,,,,,,,,,,,,,,,,
"Health Fund",890,"Office of The Chief Health Administrator","Health Administrator","https://www.cookcountyil.gov/agency/health-and-hospitals-system","The Cook County Health and Hospitals System oversees healthcare operations and policy implementation for the County Health System.","Cook County Health and Hospital System",1119578,1285195,1862505,1637159,1588495,2004976,2050373,2540214,3296388,3344152,3557321,5683536,10693042,13470988,15981772,182354900,127197793,140648324,147622343,168676467,154886527,189471395,118613901,113488087,110715475,902249,1082581,1036121,1191443,1260227.68,1435911.89,1526442,2102987.61,2689193,3038255,3173172.5,4674236,6935195,21259970.7,17031873,139462570.6,145681176.6,177294307.8,139876960.2,154760021.6,170258017.2,176687608.5,109355920.2,106598134.7
"Health Fund",891,"Provident Hospital of Cook County","Provident Hospital","http://www.cookcountyhhs.org/locations/provident-hospital/","Responsible for the provision of a wide array of healthcare services to the residents of Cook County, particularly resdients who reside in the Grand Boulevard neighborhood and on the Chicago Southside.","Cook County Health and Hospital System",43803699,75840992,63775465,60967589,68243793,69405418,72463366,75415627,79555555,82321362,89557303,98877964,98140638,102253136,83816049,77390600,93324098,97052895,67054238,51492542,49475456,48357796,52388141,46844425,47422810,28654087,60047271,60627599,60483494,65424692.27,68068497.23,68568228,77297115.51,80059423,80366264,88917090.02,100422648,98976826,102335284.5,87666472,73376254.94,81855048.23,72292322.82,56586131.1,47915652.07,45210051.33,44812723.58,48395049.22,47349127.11
"Health Fund",892,"South Suburban Ambulatory Services Network","Ambulatory Services","http://www.cookcountyhhs.org/","Last year 1994. Merged with 892 in 1995.","Cook County Health and Hospital System",3409178,4198634,,,,,,,,,,,,,,,,,,,,,,,,3146924,3331902,,,,,,,,,,,,,,,,,,,,,,
"Health Fund",893,"Ambulatory and Community Health Network of Cook County","Ambulatory Health","http://www.cookcountyhhs.org/","Dispersed throughout Cook County, the Ambulatory & Community Health Network (ACHN) coordinates primary and specialty outpatient care in community, school-based and hospital outpatient settings.","Cook County Health and Hospital System",58722792,40787785,54816117,58305172,65649038,71698410,82325471,88547312,100660746,106906716,101278794,106136946,107369780,54857228,41640241,44047400,48889961,51793734,51768786,47067401,51815924,51465467,59280037,78815125,78333023,56775887,39375542,49094049,53606770,63352075.95,68959670.77,81556626,86578653.51,99009006,103107690,99691579.88,105150116,107559061,52374431.94,42650637,38502422.91,43527640.29,44652857.61,42885932.39,44183060.77,48151861.18,43732670.07,56767690.13,59048090.07
"Health Fund",894,"The Ruth M. Rothstein CORE Center","CORE Center","http://www.cookcountyhhs.org/locations/ruth-m-rothstein-core-center/","The Ruth M. Rothstein CORE Center is the nations first free-standing, specialized out-patient health care facility addressing the medical and social needs of people with HIV/AIDS and other chronic infectious diseases.","Cook County Health and Hospital System",,,,,,,,,,,12473994,12554708,11337398,11084352,10819939,10971600,11201858,11841106,11865274,11844779,11698210,11753051,11745097,12183198,12835145,,,,,,,,,,,11872656.17,12228131,11177121,10699327.15,10652095,10588921.72,10889095.43,11141526.21,10906996,11087303.14,11012412.63,11369169.43,11845150.27,11970403
"Health Fund",895,"Department of Public Health","Public Health","http://www.cookcountypublichealth.org/","The Cook County Department of Public Health (CCDPH) is committed to protecting and promoting health and preventing illness, disability and premature death among all the residents of suburban Cook County.","Cook County Health and Hospital System",10655298,10943786,11971949,11458233,12229774,13726550,14987177,15910551,16946702,17435444,17729786,20872941,19348511,18830678,16848094,15953500,15963403,17438553,17678034,17164364,16107119,14450251,11278735,10836201,9951497,9817806,10663248,11001970,11179187,12031482.12,13489907.78,14344813,15315934.82,15781043,16919426,17157771.65,20009897,19234113,17746716.98,15746886,14522459.96,14759492.49,15533724.67,15835993.7,15469700.08,12001916.27,12654617.85,9867198.67,9851341.04
"Health Fund",896,"County Care","Managed Care","http://www.countycare.com/","Established in FY13 To provide comprehensive medical care to waiver enrollees coordinated and managed by a Primary Care Medical Home (PCMH) model, and to create efficient administrative infrastructure to implement all aspects of the waiver, as required by federal and state authorities.","Cook County Health and Hospital System",,,,,,,,,,,,,,,,,,,,,96164900,190804289,566867323,646044653,547892626,,,,,,,,,,,,,,,,,,,,,103376957.2,489401621.4,568525353.1,651691910
"Health Fund",897,"John H. Stroger, Jr. Hospital of Cook County","Stroger Hospital","http://www.cookcountyhhs.org/locations/john-h-stroger-jr-hospital/","This hospital opened in 1866 as the first County-owned hospital. It accomodates a dramatically increasing demand for inpatient medical/surgical beds, emergency care, and specialty care. JHSH serves a geographic area with over three million residents.","Cook County Health and Hospital System",378672168,392589567,383214706,372626075,382673297,370252675,358323487,379058304,406927824,407142379,429437268,460964633,423693765,467415145,412611742,380268100,427661957,436765313,421968840,429771321,425624711,445202520,525236650,544088008,589061106,344616096,367201681,374263085,367346067,377569311.8,366861368.8,364373616,379923075.7,406614175,408455162,431364018.9,473800648,454001607,481802910.1,432386717,369275402,402852745.3,398235905.1,400649112.2,416121502.3,416111006.1,443288304.4,515972372.3,553516399.3
"Health Fund",898,"Oak Forest Hospital of Cook County","Oak Forest Hospital","http://www.cookcountyhhs.org/locations/oak-forest-health-center/","This health care facility located in Oak Forest serves the residents of the southwest corner of Cook County.","Cook County Health and Hospital System",106717208,101276766,97940054,94658089,95290066,94828382,99411293,107033988,113766041,117751443,122934141,127597867,114309195,120496300,120257353,79878200,90406273,90459606,52367379,35180850,12438287,11216096,11069970,10388027,8400339,97694302,99389927,93845013,91634626,91374898.39,91583113.44,99726673,106749457.8,109472279,113692358,115879773.4,126829828,116480249,126104360.6,115025666,72078481.49,79762259.68,69878400.07,50776045.44,26471791.1,11002024.73,10513566.58,11036537.81,11050032.68
"Health Fund",899,"Fixed Charges and Special Purpose Appropriations - Health","Fixed Charges",,"Designed to facilitate the timely reimbursement of funds for special purposes within the Bureau of Health Services Fund. Includes expenses for health insurance for all employees.","Cook County Health and Hospital System",35934768,19420251,26108001,27735999,15902204,16544437,20499867,23054380,797895,1837787,4021639,4399117,88650886,93889617,108066599,85310100,117476668,82895066,96755532,88902088,100706267,112455101,118857406,108274440,114320546,17846858,18554330,24862397,26311585,15054764.01,12436235.41,11907107,11601130.55,1068970,-6947243,89182.27,5220240,62416686,76185503.14,77110769,70999113.56,114550842.4,128651804.7,110068180.2,107397695.6,100603370,93884273.47,120703223.3,110706974.1
"Special Purpose Fund",1000,"Less Debt Restructuring","Debt Restructuring",,"One time credit applied in 2011, savings realized by restructuring the County's debt.","Countywide Costs",,,,,,,,,,,,,,,,,,,-85000000,8727160,,,,,,,,,,,,,,,,,,,,,,,,8727160,,,,,
"Special Purpose Fund",1001,"Other Restricted Funds (Federal, State And Private Grants)","Restricted Grants",,"Grants with a restriction of specific use received by County from other forms of government or private.","Countywide Costs",67353212,68944526,77054848,86107187,82486921,108480687,120963697,122091675.3,129130416,119334263,135177927,137880733,169609948.5,173665246,146101672,135569600,119550729,160810112,185029746,148928355,134433126,162452203,221181140,224810533,257947797,64433109,71831887,60471022,75628872,58549971,93433319,83586954,90351410,101153933,119334263,135937539,137880733,169609948.5,173665246,146101672,135569600,132209634,160810112,89653980,148928355,134433126,162452203,221181140,114046282.5
"Allowance for Uncollected Taxes",1002,"Allowance for Uncollected Taxes","Uncollected Taxes",,"Uncollected taxes from year considered. Occassionally the allowance for uncollected taxes has been accounted for in special purposes appropriation. In this visualization we have accounted it separately.","Uncollected Taxes",15135376,13181197,12938524,13632436,13641674,13220794,12598180,12957045,12936352,12425373,11911170,10911153,11013957,11004381,13098381,11628911,11527095,11598042,8727160,8727160,,,,,,,,,,,,,,,,,10911153,11013957,11004381,13098381,11628911,11527095,11527095,8727160,8727160,,,,
"Corporate Fund",27,"Office of Economic Development","Office of Economic Development",,"The Cook County Bureau of Economic Development’s mission is to foster economic development, workforce development, and community development within Cook County through the strategic leveraging of resources and efficient professional management.","Bureau Economic Development",,,,,,,,,,,,,,,,,,,,1333423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corporate Fund",28,"IT Shared Services","IT Shared Services",,"Although not found in the 2012 Apropriations Bill, this newly formed Department was envisioned to share IT services across agencies; it also builds and maintains a secure, flexible, dependable, technically sound, cost-effective information and communications technology infrastructure for Cook County agencies in order to ensure a high degree of systems availability, performance and continuity of business operations.","Bureau of Technology",,,,,,,,,,,,,,,,,,,,2250702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public Safety Fund",265,"Department of Homeland Security and Emergency Management - General Fund","Homeland Security","http://www.cookcountyhomelandsecurity.org/","This Department coordinates countywide emergency and disaster preparedness planning. Coordinates County response during emergencies and disasters. Assists municipalities in recovery from a disaster. Continues to mitigate hazards of Cook County. Oversees management of Homeland Security and Emergency Management grants.","President",,,,,,,,,,,,,,,,,,,,878684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Special Purpose Fund",579,"Assessor Special Revenue Fund","Assessor Special Revenue Fund","http://www.cookcountyassessor.com/","The revenue collected by the Assessor from marketing previously unutilized commercial opportunities related to, but not limited to, the Assessor's Website, Assessor’s Database, and Assessment Notices is placed in this special fund for the Assessor's expenditures and it is held by the Treasurer of the County.","Assessor",,,,,,,,,,,,,,,,,,,,1237508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
